0.4,PET,1.0,08:22:02
0.6,PP PRETO,0.3,08:22:02
0.1,LATINHA,0.5,08:50:26
0.2,PLÁSTICO DURO,0.1,08:50:26
0.4,PET,1.0,08:50:26
4.1,PET,10.2,08:58:09
4.0,PLÁSTICO DURO,2.8,08:58:09
1.75,PP PRETO,0.8,08:58:09
1.135,ALTO IMPACTO,0.3,08:58:09
9.0,FERRO,6.3,09:02:53
2.0,PLÁSTICO DURO,1.4,09:02:53
1.7,PET,4.2,09:02:53
0.1,LATINHA,0.5,09:02:53
0.4,PLÁSTICO DURO,0.2,09:05:57
0.1,PET,0.2,09:05:57
30.0,FERRO,21.0,09:06:31
3.3,PLÁSTICO DURO,2.3,09:12:34
1.5,PET,3.7,09:12:34
0.3,LATINHA,1.5,09:12:34
3.3,FERRO,2.3,09:12:34
0.5,ALTO IMPACTO,0.1,09:12:34
2.3,PLÁSTICO DURO,1.6,09:20:06
2.0,PET,5.0,09:20:06
2.4,FERRO,1.6,09:20:06
0.1,LATINHA,0.5,09:20:06
14.0,PLÁSTICO DURO,9.7,09:22:26
49.0,PAPELÃO,7.3,09:27:35
1.5,PET,3.7,09:42:33
1.2,FERRO,0.8,09:42:33
3.5,PLÁSTICO DURO,2.4,09:42:33
0.8,LATINHA,4.0,09:42:33
1.5,ALTO IMPACTO,0.4,09:42:33
9.5,PLÁSTICO DURO,6.6,09:43:39
